feed,title,long_url,short_url
ExploitDB,[webapps] School Event Attendance Monitoring System 1.0 - 'Item Name' Stored Cross-Site Scripting,https://www.exploit-db.com/exploits/49560,https://j.mp/3775Itv
ExploitDB,[webapps] School File Management System 1.0 - 'multiple' Stored Cross-Site Scripting,https://www.exploit-db.com/exploits/49559,https://j.mp/3tQkMFt
ExploitDB,[local] PDFCOMPLETE Corporate Edition 4.1.45 - 'pdfcDispatcher' Unquoted Service Path,https://www.exploit-db.com/exploits/49558,https://j.mp/2NhX4Ba
