feed,title,long_url,short_url
SecurityWeek,Microsoft Announces Public Preview of Application Guard for Office,https://www.securityweek.com/microsoft-announces-public-preview-application-guard-office,https://j.mp/3aTyjmJ
SecurityWeek,Cybersecurity: An All-Encompassing Organizational Responsibility,https://www.securityweek.com/cybersecurity-all-encompassing-organizational-responsibility,https://j.mp/3ljR7jR
SecurityWeek,"Microsoft Patches Code Execution, Privilege Escalation Flaws in Azure Sphere",https://www.securityweek.com/microsoft-patches-code-execution-privilege-escalation-flaws-azure-sphere,https://j.mp/3huoopY
SecurityWeek,SaaS Security Platform Provider ReliaQuest Raises $300 Million,https://www.securityweek.com/saas-security-platform-provider-reliaquest-raises-300-million,https://j.mp/2EpzUon
SecurityWeek,Unpatched Safari Vulnerability Allows Theft of Local Files,https://www.securityweek.com/unpatched-safari-vulnerability-allows-theft-local-files,https://j.mp/3gsbw2k
SecurityWeek,Military's Top Cyber Official Defends More Aggressive Stance,https://www.securityweek.com/militarys-top-cyber-official-defends-more-aggressive-stance,https://j.mp/2YADLpo
SecurityWeek,Hack-for-Hire Group Targets Financial Sector Since 2012,https://www.securityweek.com/hack-hire-group-targets-financial-sector-2012,https://j.mp/32tpzQa
SecurityWeek,WordPress Sites Targeted via Vulnerabilities in WooCommerce Discounts Plugin,https://www.securityweek.com/wordpress-sites-targeted-vulnerabilities-woocommerce-discounts-plugin,https://j.mp/3jd230B
SecurityWeek,Palo Alto Networks to Acquire Incident Response Firm The Crypsis Group for $265 Million,https://www.securityweek.com/palo-alto-networks-acquire-incident-response-firm-crypsis-group-265-million,https://j.mp/2CYiJcN
SecurityWeek,TikTok Sues Over Ban Ordered by Trump,https://www.securityweek.com/tiktok-sues-over-ban-ordered-trump,https://j.mp/31q3RgI
SecurityWeek,"Malicious Behavior Found in Advertising SDK Used by 1,200 iOS Apps",https://www.securityweek.com/malicious-behavior-found-advertising-sdk-used-1200-ios-apps,https://j.mp/3jbu2hg
SecurityWeek,"CISA, FBI Alert Warns of Vishing Campaign",https://www.securityweek.com/cisa-fbi-alert-warns-vishing-campaign,https://j.mp/2FRev7P
SecurityWeek,Freepik Discloses Data Breach Impacting 8.3 Million Users,https://www.securityweek.com/freepik-discloses-data-breach-impacting-83-million-users,https://j.mp/2QljBeE
SecurityWeek,TikTok Says to Sue Over Trump Crackdown,https://www.securityweek.com/tiktok-says-sue-over-trump-crackdown,https://j.mp/3aX0t03
SecurityWeek,Barr 'Vehemently Opposed' to Pardoning Snowden,https://www.securityweek.com/barr-vehemently-opposed-pardoning-snowden,https://j.mp/34wTJow
SecurityWeek,Financially-Motivated Iranian Hackers Adopt Dharma Ransomware,https://www.securityweek.com/financially-motivated-iranian-hackers-adopt-dharma-ransomware,https://j.mp/2FTrwhf
SecurityWeek,"ZDI Shares ""Crazy"" Stories on 15-Year Anniversary",https://www.securityweek.com/zdi-shares-crazy-stories-15-year-anniversary,https://j.mp/3lfiFqp
SecurityWeek,Microsoft Enables TLS 1.3 by Default in Windows 10 Insider Preview,https://www.securityweek.com/microsoft-enables-tls-13-default-windows-10-insider-preview,https://j.mp/3htVExK
SecurityWeek,"Adobe Open Sources Tool for Sanitizing Logs, Detecting Exposed Credentials",https://www.securityweek.com/adobe-open-sources-tool-sanitizing-logs-detecting-exposed-credentials,https://j.mp/2CYiJtj
SecurityWeek,Mozilla Offering Rewards for Bypassing Firefox Exploit Mitigations,https://www.securityweek.com/mozilla-offering-rewards-bypassing-firefox-exploit-mitigations,https://j.mp/2YxGFv0
