feed,title,long_url,short_url
LinuxSecurity,Mageia 2020-0387: php security update,https://www.linuxsecurity.com/advisories/mageia/mageia-2020-0387-php-security-update-15-05-45?rss,https://j.mp/359JgxM
LinuxSecurity,openSUSE: 2020:1674-1: important: icingaweb2,https://www.linuxsecurity.com/advisories/opensuse/opensuse-2020-1674-1-important-icingaweb2-14-17-13?rss,https://j.mp/2Hci5dD
LinuxSecurity,openSUSE: 2020:1675-1: important: phpMyAdmin,https://www.linuxsecurity.com/advisories/opensuse/opensuse-2020-1675-1-important-phpmyadmin-14-16-08?rss,https://j.mp/2ItqEkH
