feed,title,long_url,short_url
LinuxSecurity,openSUSE: 2020:1312-1: important: postgresql10,https://www.linuxsecurity.com/advisories/opensuse/opensuse-2020-1312-1-important-postgresql10-14-28-02?rss,https://j.mp/3lG0j1W
LinuxSecurity,RedHat: RHSA-2020-3598:01 Important: kernel security and bug fix update,https://www.linuxsecurity.com/advisories/red-hat/redhat-rhsa-2020-3598-01-important-kernel-security-and-bug-fix-update-12-38-48?rss,https://j.mp/2EUl2OG
LinuxSecurity,RedHat: RHSA-2020-3592:01 Moderate: bash security update,https://www.linuxsecurity.com/advisories/red-hat/redhat-rhsa-2020-3592-01-moderate-bash-security-update-12-38-22?rss,https://j.mp/3bexjtw
