feed,title,long_url,short_url
NVD-NIST,CVE-2020-36221 (openldap),https://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2020-36221,https://j.mp/2MBFPu5
NVD-NIST,CVE-2020-36222 (openldap),https://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2020-36222,https://j.mp/3agSBXl
NVD-NIST,CVE-2020-36223 (openldap),https://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2020-36223,https://j.mp/3pszrnz
NVD-NIST,CVE-2020-36224 (openldap),https://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2020-36224,https://j.mp/2Mhwrfr
NVD-NIST,CVE-2020-36225 (openldap),https://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2020-36225,https://j.mp/36pdej0
NVD-NIST,CVE-2021-3223 (node-red-dashboard),https://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2021-3223,https://j.mp/3pzAKkY
