feed,title,long_url,short_url
ArXiv:cs.CR,Cryptographic multilinear maps using pro-p groups,https://arxiv.org/abs/2102.04513v1,
ArXiv:cs.CR,"Trustless, privacy-preserving blockchain bridges",https://arxiv.org/abs/2102.04660v1,
ArXiv:cs.CR,Security and Privacy for Artificial Intelligence: Opportunities and Challenges,https://arxiv.org/abs/2102.04661v1,
ArXiv:cs.CR,Peer-to-Peer Content Delivery via Blockchain,https://arxiv.org/abs/2102.04685v1,
ArXiv:cs.CR,"Output Perturbation for Differentially Private Convex Optimization with Improved Population Loss Bounds, Runtimes and Applications to Private Adversarial Training",https://arxiv.org/abs/2102.04704v1,
ArXiv:cs.CR,"Federated Learning with Local Differential Privacy: Trade-offs between Privacy, Utility, and Communication",https://arxiv.org/abs/2102.04737v1,
ArXiv:cs.CR,$k$-Anonymity in Practice: How Generalisation and Suppression Affect Machine Learning Classifiers,https://arxiv.org/abs/2102.04763v1,
ArXiv:cs.CR,Avaddon ransomware: an in-depth analysis and decryption of infected systems,https://arxiv.org/abs/2102.04796v1,
ArXiv:cs.CR,"AI-based Blackbox Code Deobfuscation: Understand, Improve and Mitigate",https://arxiv.org/abs/2102.04805v1,
ArXiv:cs.CR,Functions with Diffusive Properties,https://arxiv.org/abs/1312.4568v2,
ArXiv:cs.CR,Improvements of Algebraic Attacks for solving the Rank Decoding and MinRank problems,https://arxiv.org/abs/2002.08322v4,
ArXiv:cs.CR,"Physical Security in the Post-quantum Era: A Survey on Side-channel Analysis, Random Number Generators, and Physically Unclonable Functions",https://arxiv.org/abs/2005.04344v2,
ArXiv:cs.CR,Cross-Layer Deanonymization Methods in the Lightning Protocol,https://arxiv.org/abs/2007.00764v2,
ArXiv:cs.CR,Computationally sound Bitcoin tokens,https://arxiv.org/abs/2010.01347v2,
ArXiv:cs.CR,Privacy Labelling and the Story of Princess Privacy and the Seven Helpers,https://arxiv.org/abs/2012.01813v2,
ArXiv:cs.CR,Baseline Pruning-Based Approach to Trojan Detection in Neural Networks,https://arxiv.org/abs/2101.12016v2,
