feed,title,long_url,short_url
NVD-NIST,"CVE-2021-30186 (plcwinnt, runtime_toolkit)",https://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2021-30186,https://j.mp/3ulLPYo
NVD-NIST,CVE-2021-30187 (runtime_toolkit),https://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2021-30187,https://j.mp/3fQ1tFY
NVD-NIST,CVE-2021-30188 (v2_runtime_system_sp),https://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2021-30188,https://j.mp/2RMAEuu
NVD-NIST,CVE-2021-30189 (v2_web_server),https://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2021-30189,https://j.mp/3vqe1dJ
NVD-NIST,CVE-2021-30190 (v2_web_server),https://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2021-30190,https://j.mp/2Tooqc5
NVD-NIST,CVE-2021-30191 (v2_web_server),https://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2021-30191,https://j.mp/2SpH1Uu
NVD-NIST,"CVE-2021-30195 (plcwinnt, runtime_toolkit)",https://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2021-30195,https://j.mp/2RMAvHs
