feed,title,long_url,short_url
gNews,Education ministry signs deal with National Cybersecurity Authority - Saudi Gazette,https://saudigazette.com.sa/article/604729,https://j.mp/3tPxKTa
gNews,Royal Court announces death of Prince Badr Bin Fahd Bin Saud Al-Kabeer - Saudi Gazette,https://www.saudigazette.com.sa/article/604734/SAUDI-ARABIA/Royal-Court-announces-death-of-Prince-Badr-Bin-Fahd-Bin-Saud-Al-Kabeer,https://j.mp/3feUeJj
gNews,Saudi Arabia using AI technology for monitoring weather: Dr. Ghulam - Saudi Gazette,https://saudigazette.com.sa/article/604731/SAUDI-ARABIA/Saudi-Arabia-using-AI-technology-for-monitoring-weather-Dr-Ghulam,https://j.mp/3sfPpTr
