feed,title,long_url,short_url
LinuxSecurity,openSUSE: 2020:1302-1: important: xorg-x11-server,https://www.linuxsecurity.com/advisories/opensuse/opensuse-2020-1302-1-important-xorg-x11-server-02-18-08?rss,https://j.mp/2QDthRT
LinuxSecurity,openSUSE: 2020:1304-1: moderate: inn,https://www.linuxsecurity.com/advisories/opensuse/opensuse-2020-1304-1-moderate-inn-02-14-20?rss,https://j.mp/32E3Mpg
LinuxSecurity,openSUSE: 2020:1303-1: graphviz,https://www.linuxsecurity.com/advisories/opensuse/opensuse-2020-1303-1-graphviz-02-13-33?rss,https://j.mp/3gGnw0s
