feed,title,long_url,short_url
NVD-NIST,"CVE-2021-31458 (phantompdf, reader)",https://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2021-31458,https://j.mp/33tJ3Fd
NVD-NIST,"CVE-2021-31459 (reader, phantompdf)",https://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2021-31459,https://j.mp/2SHRfQf
NVD-NIST,"CVE-2021-31460 (reader, phantompdf)",https://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2021-31460,https://j.mp/3vTUfqR
NVD-NIST,CVE-2021-31755 (ac11_firmware),https://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2021-31755,https://j.mp/3exjdqb
NVD-NIST,CVE-2021-31756 (ac11_firmware),https://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2021-31756,https://j.mp/2RaRvqz
NVD-NIST,CVE-2021-31757 (ac11_firmware),https://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2021-31757,https://j.mp/3o1zsz8
NVD-NIST,CVE-2021-31758 (ac11_firmware),https://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2021-31758,https://j.mp/2RGI0zc
