feed,title,long_url,short_url
LinuxSecurity,RedHat: RHSA-2021-0508:01 Important: subversion:1.10 security update,https://www.linuxsecurity.com/advisories/red-hat/redhat-rhsa-2021-0508-01-important-subversion-1-10-security-update-02-41-34?rss,https://j.mp/2MXzGJz
LinuxSecurity,RedHat: RHSA-2021-0507:01 Important: subversion:1.10 security update,https://www.linuxsecurity.com/advisories/red-hat/redhat-rhsa-2021-0507-01-important-subversion-1-10-security-update-02-34-22?rss,https://j.mp/3pmb4Hl
LinuxSecurity,RedHat: RHSA-2021-0509:01 Important: subversion:1.10 security update,https://www.linuxsecurity.com/advisories/red-hat/redhat-rhsa-2021-0509-01-important-subversion-1-10-security-update-02-32-29?rss,https://j.mp/2OEBGH3
