feed,title,long_url,short_url
NVD-NIST,"CVE-2018-25009 (enterprise_linux, libwebp)",https://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2018-25009,https://j.mp/3ucMJWR
NVD-NIST,"CVE-2018-25010 (enterprise_linux, libwebp)",https://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2018-25010,https://j.mp/3fjp9Uq
NVD-NIST,"CVE-2018-25011 (enterprise_linux, libwebp)",https://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2018-25011,https://j.mp/3fHipyy
NVD-NIST,"CVE-2018-25012 (enterprise_linux, libwebp)",https://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2018-25012,https://j.mp/3yCBb2M
NVD-NIST,"CVE-2018-25013 (enterprise_linux, libwebp)",https://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2018-25013,https://j.mp/3wpbpwS
NVD-NIST,"CVE-2018-25014 (enterprise_linux, libwebp)",https://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2018-25014,https://j.mp/34cQHEn
NVD-NIST,"CVE-2020-36328 (enterprise_linux, libwebp)",https://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2020-36328,https://j.mp/3hRlj6j
NVD-NIST,"CVE-2020-36329 (enterprise_linux, libwebp)",https://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2020-36329,https://j.mp/3fFwRXT
NVD-NIST,"CVE-2020-36330 (enterprise_linux, libwebp)",https://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2020-36330,https://j.mp/3hQY64c
NVD-NIST,"CVE-2020-36331 (enterprise_linux, libwebp)",https://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2020-36331,https://j.mp/3ugbPUT
NVD-NIST,"CVE-2020-36332 (enterprise_linux, libwebp)",https://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2020-36332,https://j.mp/3vk1xnY
NVD-NIST,CVE-2021-33508 (plone),https://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2021-33508,https://j.mp/3wwqtZC
NVD-NIST,CVE-2021-33509 (plone),https://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2021-33509,https://j.mp/3hRljmP
NVD-NIST,CVE-2021-33510 (plone),https://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2021-33510,https://j.mp/34cf9FQ
NVD-NIST,CVE-2021-33511 (plone),https://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2021-33511,https://j.mp/3uiy8Jq
NVD-NIST,CVE-2021-33512 (plone),https://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2021-33512,https://j.mp/34fsjSw
NVD-NIST,CVE-2021-33513 (plone),https://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2021-33513,https://j.mp/3wuTB3p
