feed,title,long_url,short_url
LinuxSecurity,Fedora 34: firefox 2021-0d26f8a9f3,https://www.linuxsecurity.com/advisories/fedora/fedora-34-firefox-2021-0d26f8a9f3-01-45-24?rss,https://j.mp/3uTTnlW
LinuxSecurity,Fedora 34: python-django 2021-01044b8a59,https://www.linuxsecurity.com/advisories/fedora/fedora-34-python-django-2021-01044b8a59-01-45-05?rss,https://j.mp/33Et2fK
LinuxSecurity,Fedora 34: php 2021-eab9e0e415,https://www.linuxsecurity.com/advisories/fedora/fedora-34-php-2021-eab9e0e415-01-45-01?rss,https://j.mp/3hhuzAB
LinuxSecurity,Fedora 34: redis 2021-3b267a756c,https://www.linuxsecurity.com/advisories/fedora/fedora-34-redis-2021-3b267a756c-01-44-54?rss,https://j.mp/3bl1BMy
LinuxSecurity,Fedora 34: community-mysql 2021-01189f6361,https://www.linuxsecurity.com/advisories/fedora/fedora-34-community-mysql-2021-01189f6361-01-44-46?rss,https://j.mp/2RhjIfc
LinuxSecurity,Fedora 34: chromium 2021-c3754414e7,https://www.linuxsecurity.com/advisories/fedora/fedora-34-chromium-2021-c3754414e7-01-44-40?rss,https://j.mp/33BVjDJ
