feed,title,long_url,short_url
PacketstormSecurity,Florida Water Plant Compromise Came Hours After Worker Visited Malicious Site,https://packetstormsecurity.com/news/view/32300/Florida-Water-Plant-Compromise-Came-Hours-After-Worker-Visited-Malicious-Site.html,https://j.mp/3eYgkPp
PacketstormSecurity,How Dow Jones Used The Pandemic To Undergo A Zero Trust Overhaul,https://packetstormsecurity.com/news/view/32299/How-Dow-Jones-Used-The-Pandemic-To-Undergo-A-Zero-Trust-Overhaul.html,https://j.mp/3yiQiON
PacketstormSecurity,What Beijing's New Crackdown Means For Crypto In China,https://packetstormsecurity.com/news/view/32298/What-Beijings-New-Crackdown-Means-For-Crypto-In-China.html,https://j.mp/3wd8Z4g
PacketstormSecurity,Amazon Extends Ban On Police Using Rekognition,https://packetstormsecurity.com/news/view/32301/Amazon-Extends-Ban-On-Police-Using-Rekognition.html,https://j.mp/2STW2hu
