feed,title,long_url,short_url
NVD-NIST,CVE-2021-21151 (chrome),https://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2021-21151,https://j.mp/3uDaR6r
NVD-NIST,CVE-2021-21154 (chrome),https://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2021-21154,https://j.mp/2ZTndJE
NVD-NIST,CVE-2021-21156 (chrome),https://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2021-21156,https://j.mp/3uCDSzp
NVD-NIST,CVE-2021-26716 (emoncms),https://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2021-26716,https://j.mp/3bJA1rs
